predictor,predictor_value,suitability
wc2.1_2.5m_bio_15,57.46355692545573,0.12516207184545536
wc2.1_2.5m_bio_15,61.055029233296715,0.12857308925492275
wc2.1_2.5m_bio_15,64.64650154113768,0.13204826847385123
wc2.1_2.5m_bio_15,68.23797384897867,0.13558606229489417
wc2.1_2.5m_bio_15,71.82944615681966,0.13918486442635492
wc2.1_2.5m_bio_15,75.42091846466063,0.14284310212981408
wc2.1_2.5m_bio_15,79.01239077250162,0.1465592143864987
wc2.1_2.5m_bio_15,82.6038630803426,0.1503317565505172
wc2.1_2.5m_bio_15,86.19533538818358,0.1507137154172576
wc2.1_2.5m_bio_15,89.78680769602457,0.14984558861199873
wc2.1_2.5m_bio_15,93.37828000386556,0.14850884993703692
wc2.1_2.5m_bio_15,96.96975231170653,0.14719085999303408
wc2.1_2.5m_bio_15,100.56122461954752,0.1458932037413185
wc2.1_2.5m_bio_15,104.1526969273885,0.14461733511328762
wc2.1_2.5m_bio_15,107.74416923522948,0.14336455646211616
wc2.1_2.5m_bio_15,111.33564154307047,0.14213604297540816
wc2.1_2.5m_bio_15,114.92711385091145,0.14093282551660083
wc2.1_2.5m_bio_15,118.51858615875243,0.1404372345304921
wc2.1_2.5m_bio_15,122.11005846659342,0.14086316485744838
wc2.1_2.5m_bio_15,125.7015307744344,0.14256599254679408
wc2.1_2.5m_bio_15,129.2930030822754,0.14482130381001426
wc2.1_2.5m_bio_15,132.88447539011636,0.1471222537070871
wc2.1_2.5m_bio_15,136.47594769795737,0.14952887588274533
wc2.1_2.5m_bio_15,140.06742000579834,0.15209270418995494
wc2.1_2.5m_bio_15,143.6588923136393,0.15483110886291654
wc2.1_2.5m_bio_15,147.25036462148032,0.15774002374757584
wc2.1_2.5m_bio_15,150.8418369293213,0.16080285175289633
wc2.1_2.5m_bio_15,154.43330923716226,0.1640272628642448
wc2.1_2.5m_bio_15,158.02478154500326,0.16740351495320355
wc2.1_2.5m_bio_15,161.61625385284424,0.17091333133194883
wc2.1_2.5m_bio_15,165.2077261606852,0.17454730010565342
wc2.1_2.5m_bio_15,168.7991984685262,0.1783506082278808
wc2.1_2.5m_bio_15,172.3906707763672,0.18232472376418526
wc2.1_2.5m_bio_15,175.98214308420816,0.18232472376418526
wc2.1_2.5m_bio_18,-47.770833333333336,0.07957141734645404
wc2.1_2.5m_bio_18,0,0.07957141734645404
wc2.1_2.5m_bio_18,47.770833333333336,0.13913105434371364
wc2.1_2.5m_bio_18,95.54166666666666,0.13737078280902082
wc2.1_2.5m_bio_18,143.3125,0.13561603348782103
wc2.1_2.5m_bio_18,191.08333333333334,0.13386724073326392
wc2.1_2.5m_bio_18,238.85416666666666,0.1321248320158517
wc2.1_2.5m_bio_18,286.62500000000006,0.13133976151334809
wc2.1_2.5m_bio_18,334.39583333333337,0.13183439285333884
wc2.1_2.5m_bio_18,382.1666666666667,0.1323294236814009
wc2.1_2.5m_bio_18,429.93750000000006,0.1328248425760806
wc2.1_2.5m_bio_18,477.7083333333334,0.13332063845842762
wc2.1_2.5m_bio_18,525.4791666666666,0.13381680231081203
wc2.1_2.5m_bio_18,573.25,0.1343133320593843
wc2.1_2.5m_bio_18,621.0208333333334,0.1348102362142458
wc2.1_2.5m_bio_18,668.7916666666666,0.13530749466450545
wc2.1_2.5m_bio_18,716.5625,0.13580508010595554
wc2.1_2.5m_bio_18,764.3333333333334,0.13630298140530042
wc2.1_2.5m_bio_18,812.1041666666666,0.13680118960571383
wc2.1_2.5m_bio_18,859.875,0.13729969259184635
wc2.1_2.5m_bio_18,907.6458333333334,0.13779847729258365
wc2.1_2.5m_bio_18,955.4166666666666,0.13829753569749845
wc2.1_2.5m_bio_18,1003.1875000000001,0.13879686165372282
wc2.1_2.5m_bio_18,1050.9583333333335,0.13929644042667763
wc2.1_2.5m_bio_18,1098.7291666666667,0.13979626193647213
wc2.1_2.5m_bio_18,1146.5000000000002,0.1402963145798553
wc2.1_2.5m_bio_18,1194.2708333333335,0.14079659172151604
wc2.1_2.5m_bio_18,1242.0416666666667,0.14129708307934405
wc2.1_2.5m_bio_18,1289.8125000000002,0.1417976358501898
wc2.1_2.5m_bio_18,1337.5833333333335,0.142298196682715
wc2.1_2.5m_bio_18,1385.3541666666667,0.14279876433146005
wc2.1_2.5m_bio_18,1433.1250000000002,0.1432992481361697
wc2.1_2.5m_bio_18,1480.8958333333335,0.14380255459540528
wc2.1_2.5m_bio_18,1528.6666666666667,0.1443166793204512
wc2.1_2.5m_bio_18,1576.4375000000002,0.144843626011857
wc2.1_2.5m_bio_18,1624.2083333333335,0.14537481066319816
